poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,politician_id,politician,yes,no,alternate_answers
89500,235,InsiderAdvantage,NA,NA,NA,NA,NA,InsiderAdvantage,NA,NA,2025-01-20,2025-01-20,FALSE,NA,217667,800,rv,NA,rv,FALSE,2025-04-28 19:27:21 UTC,2025-08-12 13:31:16 UTC,NA,https://insideradvantage.com/first-insideradvantage-trump-job-performance-survey-approval-hits-fifty-six-percent-post-inaugural-address/,https://insideradvantage.com/first-insideradvantage-trump-job-performance-survey-approval-hits-fifty-six-percent-post-inaugural-address/,NA,NA,11,Donald Trump,56,39,5
89505,1890,SoCal Strategies,2152,On Point Politics,NA,NA,NA,SoCal Strategies,Online Opt-In Panel,NA,2025-01-21,2025-01-21,FALSE,NA,217683,742,a,NA,a,FALSE,2025-04-28 19:27:18 UTC,2025-08-12 13:31:19 UTC,NA,https://substack.com/inbox/post/155392047,https://substack.com/inbox/post/155392047,NA,https://docs.google.com/spreadsheets/d/1d8prOUQQwcFEIc_TQPaA4Ekf7EcMqo84BdZ3LfWrjYc/edit?gid=1162161997#gid=1162161997,11,Donald Trump,49,36,15
89504,241,Ipsos,71,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2025-01-20,2025-01-21,FALSE,NA,217682,1077,a,NA,a,FALSE,2025-04-28 19:27:18 UTC,2025-04-28 19:27:18 UTC,NA,https://www.ipsos.com/en-us/reuters-ipsos-trump-inauguration-survey,https://www.ipsos.com/en-us/reuters-ipsos-trump-inauguration-survey,NA,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-01/Reuters%20Ipsos%20Trump%20Inauguration%20Survey%20Topline%20January%202025.pdf,11,Donald Trump,47,41,12
89510,1528,AtlasIntel,NA,NA,NA,NA,NA,AtlasIntel,Online Ad,NA,2025-01-21,2025-01-23,FALSE,NA,217722,1882,a,NA,a,FALSE,2025-04-28 19:27:21 UTC,2025-08-12 13:31:21 UTC,NA,https://cdn.atlasintel.org/ed3f5238-e823-495e-a877-628217de9e68.pdf,NA,NA,https://cdn.atlasintel.org/ed3f5238-e823-495e-a877-628217de9e68.pdf,11,Donald Trump,50.1,49.7,0.3
89511,1895,Quantus Insights,2184,TrendingPolitics,NA,NA,NA,Quantus Insights,Online Opt-In Panel,NA,2025-01-22,2025-01-23,FALSE,REP,217723,1000,rv,NA,rv,FALSE,2025-04-28 19:27:21 UTC,2025-08-12 13:31:21 UTC,NA,https://quantusinsights.org/f/trump%E2%80%99s-second-term-begins-what-voters-think,https://quantusinsights.org/f/trump%E2%80%99s-second-term-begins-what-voters-think,NA,https://drive.google.com/file/d/1d1e9IDGzoiE2SXuhKUJju0g4jNfHm_yK/view,11,Donald Trump,54,40,6
89509,1554,RMG Research,2178,Napolitan Institute,NA,NA,NA,RMG Research,NA,NA,2025-01-20,2025-01-23,FALSE,NA,217721,3000,rv,NA,rv,FALSE,2025-04-28 19:27:19 UTC,2025-08-12 13:31:21 UTC,NA,https://x.com/ScottWRasmussen/status/1882804554187538650,NA,https://x.com/ScottWRasmussen/status/1882804554187538650,NA,11,Donald Trump,57,39,NA
89513,1302,Echelon Insights,NA,NA,NA,NA,NA,Echelon Insights,Online Opt-In Panel,NA,2025-01-22,2025-01-24,FALSE,NA,217787,1024,lv,NA,lv,FALSE,2025-04-28 19:27:21 UTC,2025-04-28 19:27:21 UTC,NA,https://echeloninsights.com/in-the-news/dec-2024-verified-voter-omnibus-2/,https://echeloninsights.com/in-the-news/dec-2024-verified-voter-omnibus-2/,https://echelonin.wpenginepowered.com/wp-content/uploads/January-2025-Voter-Omnibus-Topline-External-1.pdf,https://echelonin.wpenginepowered.com/wp-content/uploads/January-2025-Omnibus-Crosstabs-EXTERNAL.pdf,11,Donald Trump,51,43,6
89517,1478,Research Co.,NA,NA,NA,NA,NA,Research Co.,Online Opt-In Panel,NA,2025-01-22,2025-01-24,FALSE,NA,217819,1001,a,NA,a,FALSE,2025-04-28 19:22:43 UTC,2025-08-12 13:31:26 UTC,NA,https://researchco.ca/2025/01/27/immigration-usa/,https://researchco.ca/2025/01/27/immigration-usa/,NA,https://researchco.ca/wp-content/uploads/2025/01/Tables_Immigration_USA_1of2_27Jan2025.pdf,11,Donald Trump,50,46,3
89522,241,Ipsos,71,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2025-01-24,2025-01-26,FALSE,NA,217852,1034,a,NA,a,FALSE,2025-04-28 19:22:44 UTC,2025-08-12 13:31:29 UTC,NA,https://www.reuters.com/world/us/americans-sour-some-trumps-early-moves-reutersipsos-poll-finds-2025-01-28/,https://www.reuters.com/world/us/americans-sour-some-trumps-early-moves-reutersipsos-poll-finds-2025-01-28/,NA,NA,11,Donald Trump,45,46,NA
89520,1189,Morning Consult,NA,NA,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2025-01-24,2025-01-26,FALSE,NA,217822,2302,rv,NA,rv,FALSE,2025-04-28 19:22:43 UTC,2025-04-28 19:22:43 UTC,NA,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,NA,NA,11,Donald Trump,52,44,4
89519,1189,Morning Consult,NA,NA,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2025-01-21,2025-01-27,FALSE,NA,217821,45000,a,NA,a,TRUE,2025-04-28 19:23:01 UTC,2025-08-12 13:31:27 UTC,NA,https://pro.morningconsult.com/trackers/global-leader-approval,https://pro.morningconsult.com/trackers/global-leader-approval,NA,NA,11,Donald Trump,52.35,37.67,9.98
89528,169,Gallup,NA,NA,NA,NA,NA,Gallup,Live Phone,NA,2025-01-21,2025-01-27,FALSE,NA,217897,1001,a,NA,a,FALSE,2025-04-28 19:22:46 UTC,2025-08-12 13:31:36 UTC,NA,https://news.gallup.com/poll/655955/trump-inaugural-approval-rating-historically-low-again.aspx,https://news.gallup.com/poll/655955/trump-inaugural-approval-rating-historically-low-again.aspx,NA,NA,11,Donald Trump,47,48,4
