poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216453,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,48.1
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216453,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,49.2
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216453,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,GRE,Stein,31116,Jill Stein,1.1
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216453,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,IND,West,31097,Cornel West,0.3
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216453,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,LIB,Oliver,31790,Chase Oliver,0.1
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216454,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,48.8
89372,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,,11/3/24,11/4/24,,"",,,,,216454,2703,lv,,lv,,11/4/24 19:06,"",https://atlasintel.org/poll/usa-national-2024-11-04,https://atlasintel.org/poll/usa-national-2024-11-04,,https://cdn.atlasintel.org/f1cec70d-8eae-442f-9577-2b3d6fc63420.pdf,"",,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,50.0
89373,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,"",,,,,216464,875,lv,,lv,,11/4/24 19:24,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,8759,2024,U.S. President,0,,11/5/24,general,false,false,,false,DEM,Harris,16661,Kamala Harris,45.9
89373,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,"",,,,,216464,875,lv,,lv,,11/4/24 19:24,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,8759,2024,U.S. President,0,,11/5/24,general,false,false,,false,REP,Trump,16651,Donald Trump,51.0
89373,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,11/3/24,11/4/24,,"",,,,,216464,875,lv,,lv,,11/4/24 19:24,"",https://atlasintel.org/poll/usa-key-states-2024-11-04,https://atlasintel.org/poll/usa-key-states-2024-11-04,,https://cdn.atlasintel.org/f62c7f97-72b3-446a-9b95-a4a014ff5eb9.pdf,"",,,8759,2024,U.S. President,0,,11/5/24,general,false,false,,false,GRE,Stein,31116,Jill Stein,1.0
