pollster,sponsors,start_date,end_date,sample_size,population,dem,rep,url,mode,tracking,partisan,internal
YouGov,The Economist,11/4/2016,11/7/2016,3677,LV,45,42,https://web.archive.org/web/20170131004448/https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l37rosbwjp/econTabReport_lv.pdf,Online Matched Sample,FALSE,NA,NA
"Ipsos, online",Reuters,10/30/2016,11/3/2016,2021,LV,42,41,https://web.archive.org/web/20170131004448/http://polling.reuters.com/,Online Opt-In Panel,FALSE,NA,NA
Fox News/Anderson Robbins Research/Shaw & Company Research,NA,11/3/2016,11/6/2016,1295,LV,45,46,https://web.archive.org/web/20170131004448/http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,Live Phone,FALSE,NA,NA
NBC News/Wall Street Journal,NA,11/3/2016,11/5/2016,1282,LV,47,44,https://web.archive.org/web/20170131004448/https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final,Live Phone,FALSE,NA,NA
Selzer & Company,Bloomberg,11/4/2016,11/6/2016,799,LV,45,48,https://web.archive.org/web/20170131004448/https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0,Live Phone,FALSE,NA,NA
Marist College,McClatchy,11/1/2016,11/3/2016,940,LV,48,47,https://web.archive.org/web/20170131004448/http://www.mcclatchydc.com/news/politics-government/election/article112635048.html,Live Phone,FALSE,NA,NA
"RKM Research and Communications, Inc.",Franklin Pierce University | Boston Herald,11/1/2016,11/5/2016,1009,LV,45,46,https://web.archive.org/web/20170131004448/http://www.bostonherald.com/sites/default/files/media/2016/11/06/FPU-BH-Tables-110616.pdf,Live Phone,FALSE,NA,NA
SurveyMonkey,NBC News,10/31/2016,11/6/2016,67223,LV,48,43,https://web.archive.org/web/20170131004448/https://blog.electiontracking.surveymonkey.com/2016/11/07/house-democrat-vote-creeps-higher-but-will-it-be-enough/,Online Opt-In Panel,FALSE,NA,NA
Morning Consult,Politico,10/29/2016,10/30/2016,1772,LV,44,43,https://web.archive.org/web/20170131004448/http://www.politico.com/story/2016/10/clinton-emails-comey-poll-politico-morning-consult-230519,Online Opt-In Panel,FALSE,NA,NA
Google Consumer Surveys,Red Oak Strategic,10/27/2016,10/28/2016,943,LV,36,39,https://web.archive.org/web/20170131004448/https://s3.amazonaws.com/redoakstrategic-gcs/RedOakStrategic_NationalGCSSurvey_Nov12016.pdf,Online Opt-In Panel,FALSE,NA,NA
