pollster,sponsors,sponsor_candidate,state,start_date,end_date,sample_size,population,subpopulation,population_full,candidate_name,pct,party,url,mode,tracking,partisan,internal,hypothetical,election_date,stage,question_id
CWS Research,Defend Texas Liberty PAC (hybrid PAC),NA,Texas,2022-07-09,2022-07-10,1918,RV,R,RV-R,John Cornyn,31,REP,https://drive.google.com/file/d/1eNg8qDs0MpbzlQKqdwTXPrgzM4dSdL4N/view,IVR/Text,FALSE,REP,FALSE,TRUE,2026-03-03,primary,222838
CWS Research,Defend Texas Liberty PAC (hybrid PAC),NA,Texas,2022-07-09,2022-07-10,1918,RV,R,RV-R,Ken Paxton Jr.,51,REP,https://drive.google.com/file/d/1eNg8qDs0MpbzlQKqdwTXPrgzM4dSdL4N/view,IVR/Text,FALSE,REP,FALSE,TRUE,2026-03-03,primary,222838
CWS Research,Defend Texas Liberty PAC (hybrid PAC),NA,Texas,2022-10-19,2022-10-23,823,RV,R,RV-R,John Cornyn,35,REP,https://texasscorecard.com/wp-content/uploads/2022/10/22.10.25-defend-texas-liberty-texas-statewide-2022-republicans-october-issue-poll.pdf,IVR/Text-to-Web,FALSE,REP,FALSE,TRUE,2026-03-03,primary,222837
CWS Research,Defend Texas Liberty PAC (hybrid PAC),NA,Texas,2022-10-19,2022-10-23,823,RV,R,RV-R,Chip Roy,18,REP,https://texasscorecard.com/wp-content/uploads/2022/10/22.10.25-defend-texas-liberty-texas-statewide-2022-republicans-october-issue-poll.pdf,IVR/Text-to-Web,FALSE,REP,FALSE,TRUE,2026-03-03,primary,222837
CWS Research,Defend Texas Liberty PAC (hybrid PAC),NA,Texas,2022-10-19,2022-10-23,823,RV,R,RV-R,Ronny Jackson,14,REP,https://texasscorecard.com/wp-content/uploads/2022/10/22.10.25-defend-texas-liberty-texas-statewide-2022-republicans-october-issue-poll.pdf,IVR/Text-to-Web,FALSE,REP,FALSE,TRUE,2026-03-03,primary,222837
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Bill Cassidy,48.5,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219246
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,John Fleming,51.5,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219246
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Garret Graves,44.2,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219245
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Clay Higgins,55.8,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219245
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Clay Higgins,56.5,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219244
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Bill Cassidy,41.3,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219243
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Garret Graves,58.7,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219243
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Eric Skrmetta,3.9,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219242
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,John Fleming,22,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219242
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Garret Graves,29.2,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219242
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Bill Cassidy,43.5,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-05-30,primary runoff,219244
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Eric Skrmetta,3.9,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219241
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,John Fleming,15.9,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219241
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Bill Cassidy,36,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219241
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Clay Higgins,44.1,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219241
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Eric Skrmetta,2.2,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219240
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,John Fleming,11.8,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219240
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Garret Graves,23.2,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219240
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Bill Cassidy,26.9,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219240
Trafalgar Group,NA,Clay Higgins,Louisiana,2024-08-12,2024-08-14,1062,LV,R,LV-R,Clay Higgins,35.9,REP,https://www.thetrafalgargroup.org/news/la-ussen-gop-0325/,IVR/Live Phone/Text/Online Opt-In Panel/Email,FALSE,REP,TRUE,TRUE,2026-04-18,primary,219240
