pollster,sponsors,sponsor_candidate,state,start_date,end_date,sample_size,population,subpopulation,population_full,url,mode,tracking,partisan,internal,hypothetical,election_date,stage,question_id,poll_id,gretchen_whitmer_dem,haley_stevens_dem,pete_buttigieg_dem,hillary_scholten_dem,dana_michelle_nessel_dem,mallory_ann_mc_morrow_dem,abdul_el_sayed_dem,joe_tate_dem,rachel_howard_dem,travis_zollner_dem,sample_size_winsr,sample_size_weight,pollster_ratname,quality_weight,poll_spon_id,zone_flood_weight,recency_weight,partisan_downweight,internals_downweight,total_weight
Global Strategy Group,NA,Mallory Ann McMorrow,Michigan,2025-05-28,2025-06-02,800,LV,D,LV-D,https://www.politico.com/newsletters/playbook/2025/06/07/the-great-un-awokening-00393429,Live Phone/Text-to-Web,FALSE,DEM,TRUE,TRUE,2026-08-04,primary,219684,6,NA,24,NA,NA,NA,20,15,4,NA,NA,800,1.1547005383792517,Global Strategy Group,0.5434094494914199,4,0.7071067811865475,8.576958985908951e-12,0.8,0.625,2.3274352675459085e-12
NRSC,NA,NA,Michigan,2025-07-04,2025-07-07,582,LV,D,LV-D,https://dailycaller.com/2025/07/08/michigan-senate-democratic-primary-poll-stevens-el-sayed/,Live Phone/Text-to-Web,FALSE,REP,TRUE,TRUE,2026-08-04,primary,221238,11,NA,24,NA,NA,NA,11,22,1,NA,NA,582,0.9848857801796105,NRSC,0.2,7,1,1.258925411794167e-10,0.8,0.625,1.5166263027786285e-11
Rosetta Stone Communications,NA,NA,Michigan,2025-10-23,2025-10-25,287,LV,D,LV-D,https://drive.google.com/file/d/1IXMRqu8XUE5k6Ao5G74CabOQMWKDxqAg/view?usp=sharing,Unknown,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,12,NA,26,NA,NA,NA,25,20,NA,NA,NA,287,0.6916164640415476,Rosetta Stone Communications,0.2,8,1,5.843414133735178e-7,1,1,9.886776167871386e-8
Mitchell Research & Communications,Michigan Information & Research Service,NA,Michigan,2025-11-18,2025-11-21,261,LV,D,LV-D,https://mirs-polls.s3.us-east-2.amazonaws.com/c7ba70f28c3812c553cbf07db509f469.pdf,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,10,NA,27,NA,NA,NA,24,16,NA,NA,NA,267.5,0.6677075208003376,Mitchell Research & Communications,0.2,6,1,4.641588833612784e-6,1,1,7.58185800957209e-7
Glengariff Group,Detroit Regional Chamber,NA,Michigan,2025-05-05,2025-05-08,NA,RV,D,RV-D,https://www.detroitchamber.com/new-poll-michigan-voters-2026-gubernatorial-us-senate-races/,Live Phone,FALSE,NA,FALSE,TRUE,2026-08-04,primary,219603,4,NA,34.3,NA,NA,NA,13.7,22.2,NA,NA,NA,600,1,Glengariff Group,0.8096997211742842,3,0.7071067811865475,1.258925411794167e-12,1,1,8.816611585254471e-13
Emerson College,Nexstar,NA,Michigan,2026-01-24,2026-01-25,1000,LV,D,LV-D,https://emersoncollegepolling.com/michigan-2026-poll-crowded-democratic-senate-primary-remains-wide-open/,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,2,NA,16.5,NA,NA,NA,22.4,15.9,NA,2.5,0.1,992.75,1.2863060807340272,Emerson College,1.0196102989124365,2,0.7071067811865475,6.812920690579616e-4,1,1,7.72839993643276e-4
Impact Research,NA,Haley Stevens,Michigan,2026-02-10,2026-02-16,800,LV,D,LV-D,https://x.com/NenoNicolosio/status/2036807794699944075,Text-to-Web,FALSE,DEM,TRUE,TRUE,2026-08-04,primary,NA,8,NA,28,NA,NA,NA,25,26,NA,NA,NA,800,1.1547005383792517,Impact Research,0.753062142905524,5,1,0.0036869450645195777,0.8,0.625,0.0019607831747219476
Upswing Research,Public First Action (super PAC),NA,Michigan,2026-02-26,2026-03-02,600,LV,D,LV-D,https://static1.squarespace.com/static/691cea7d5035d75f8dc1b1e1/t/69b30c5917fd295d04039a0a/1773341785521/MI+Dem+Senate+Primary+IP+Memo.pdf,Live Phone/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,14,NA,27,NA,NA,NA,25,23,NA,NA,NA,600,1,Upswing Research,0.2,9,1,0.0107977516232771,1,1,0.0026415330300556842
Global Strategy Group,NA,Mallory Ann McMorrow,Michigan,2026-03-19,2026-03-22,800,LV,D,LV-D,https://www.politico.com/f/?id=0000019d-2303-d065-a7bf-6f1fae0b0000,Live Phone/Text-to-Web,FALSE,DEM,TRUE,TRUE,2026-08-04,primary,NA,7,NA,23,NA,NA,NA,30,25,NA,NA,NA,800,1.1547005383792517,Global Strategy Group,0.6740362788274015,4,1,0.05011872336272723,0.8,0.625,0.023856974232122373
Data for Progress,Zeteo | Drop Site News,NA,Michigan,2026-04-02,2026-04-08,515,LV,D,LV-D,https://zeteo.com/p/exclusive-poll-michigans-dem-senate,Online Opt-In Panel/Text-to-Web,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,1,NA,23,NA,NA,NA,22,22,NA,NA,NA,515,0.9264628073124863,Data for Progress,0.5748764560182076,1,1,0.18478497974222913,1,1,0.12038209445196876
Emerson College,WOOD-TV | Nexstar,NA,Michigan,2026-04-11,2026-04-13,971,LV,D,LV-D,https://emersoncollegepolling.com/michigan-2026-poll-abdul-el-sayed-mallory-mcmorrow-tied-for-lead-in-democratic-senate-primary/,Probability Panel/Text-to-Web/Email,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,3,NA,13.4,NA,NA,NA,23.6,24,NA,0.4,2.8,971,1.2721373091507588,Emerson College,1.0196102989124365,2,1,0.27122725793320285,1,1,0.4303226970069425
Glengariff Group,Detroit Regional Chamber,NA,Michigan,2026-04-17,2026-04-19,500,LV,D,LV-D,https://www.detroitchamber.com/new-polling-gives-insight-on-the-august-primary-races/,Live Phone,FALSE,NA,FALSE,TRUE,2026-08-04,primary,NA,5,NA,24.9,NA,NA,NA,16,22.9,NA,NA,NA,500,0.9128709291752769,Glengariff Group,0.8751413358203846,3,1,0.4298662347082277,1,1,0.4200622210386075
