,president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
7,Donald Trump (2nd term),All polls,Trafalgar Group,,12/26/2025,12/27/2025,1098.0, LV,1.291294,1.217782,,50.2,44.6,5.600002,46.97151,47.20269,-0.2311783,https://www.thetrafalgargroup.org/wp-content/uploads/2025/12/National-25-Trump-Approval-Report-1228.pdf,12/27/2025,17:00:29 31 Dec 2025
13,Donald Trump (2nd term),All polls,YouGov,Economist,12/26/2025,12/29/2025,1550.0, A,0.8590701,0.8590701,,39.0,56.0,-17.0,40.6237,54.9362,-14.3125,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_h1aYmmb.pdf,12/29/2025,17:00:29 31 Dec 2025
22,Donald Trump (2nd term),All polls,AtlasIntel,,12/15/2025,12/19/2025,2315.0, A,2.050922,0.7666016,,39.3,59.6,-20.3,39.08543,58.19987,-19.11444,https://www.atlasintel.org/poll/usa-national-2025-12-19,12/19/2025,17:00:29 31 Dec 2025
31,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/19/2025,12/29/2025,1500.0, LV,0.9055501,0.6854862,True,44.0,54.0,-10.0,40.59822,55.82913,-15.23091,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/29/2025,17:00:29 31 Dec 2025
36,Donald Trump (2nd term),All polls,J.L. Partners,Daily Mail,12/20/2025,12/21/2025,1000.0, RV,1.026039,0.6066891,,43.0,47.0,-4.0,43.02115,50.69898,-7.67783,https://www.dailymail.co.uk/news/article-15420375/amp/donald-trump-polling-affordability-crisis.html,12/21/2025,17:00:29 31 Dec 2025
40,Donald Trump (2nd term),All polls,InsiderAdvantage,,12/19/2025,12/20/2025,800.0, LV,1.086069,0.5900369,,49.5,41.1,8.400002,45.83338,44.84206,0.9913216,https://insideradvantage.com/national-trump-approval-top-line-tabs/,12/20/2025,17:00:29 31 Dec 2025
51,Donald Trump (2nd term),All polls,American Research Group,,12/17/2025,12/20/2025,1100.0, A,0.9056912,0.4405977,,35.0,62.0,-27.0,37.92947,59.25074,-21.32127,https://americanresearchgroup.com/economy/,12/20/2025,17:00:29 31 Dec 2025
52,Donald Trump (2nd term),All polls,Emerson College,,12/14/2025,12/15/2025,1000.0, RV,1.375719,0.4365849,,40.8,50.3,-9.5,40.43093,52.97999,-12.54906,https://emersoncollegepolling.com/december-2025-national-poll-trumps-approval-flips-since-start-of-the-year/,12/15/2025,17:00:29 31 Dec 2025
58,Donald Trump (2nd term),All polls,Beacon Research/Shaw & Co. Research,FOX News,12/12/2025,12/15/2025,1001.0, RV,1.409894,0.4123149,,44.0,56.0,-12.0,43.34612,55.18259,-11.83647,https://www.foxnews.com/politics/fox-news-poll-prices-pinch-voters-see-trump-focused-elsewhere,12/15/2025,17:00:29 31 Dec 2025
62,Donald Trump (2nd term),All polls,YouGov,Economist,12/20/2025,12/22/2025,1592.0, A,0.6779121,0.3886863,,39.0,57.0,-18.0,40.6237,55.9362,-15.3125,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nBgFw7w.pdf,12/22/2025,17:00:29 31 Dec 2025
75,Donald Trump (2nd term),All polls,Quinnipiac University,,12/11/2025,12/15/2025,1035.0, RV,1.298924,0.3471779,,40.0,54.0,-14.0,42.42967,53.28381,-10.85414,https://poll.qu.edu/poll-release?releaseid=3943,12/15/2025,17:00:29 31 Dec 2025
82,Donald Trump (2nd term),All polls,Susquehanna Polling & Research Inc.,,12/9/2025,12/17/2025,, RV,1.263808,0.3377919,,38.0,56.0,-18.0,39.14994,55.56913,-16.41919,https://www.youtube.com/watch?app=desktop&v=-DG-SOfYlo4,12/17/2025,17:00:29 31 Dec 2025
85,Donald Trump (2nd term),All polls,Echelon Insights,,12/11/2025,12/15/2025,1011.0, LV,1.250305,0.331444,,45.0,55.0,-10.0,43.95858,55.06896,-11.11038,https://echelonin.wpenginepowered.com/wp-content/uploads/December-2025-Omnibus-Topline-External.pdf,12/15/2025,17:00:29 31 Dec 2025
93,Donald Trump (2nd term),All polls,YouGov,CBS News,12/17/2025,12/19/2025,2300.0, A,0.7514219,0.28795,,41.0,59.0,-18.0,42.6237,57.9362,-15.3125,https://assets1.cbsnewsstatic.com/hub/cms/prod_cms_alt/file/2025/12/21/f48ff4b9-0243-4c45-bbab-3c037c610176/cbsnews_20251221_sun.pdf,12/19/2025,17:00:29 31 Dec 2025
99,Donald Trump (2nd term),All polls,Marist College,NPR | PBS NewsHour,12/8/2025,12/11/2025,1440.0, A,1.488218,0.2761563,,38.0,54.0,-16.0,39.21803,53.87306,-14.65503,https://maristpoll.marist.edu/polls/2026-economic-outlook-december-2025/,12/11/2025,17:00:29 31 Dec 2025
103,Donald Trump (2nd term),All polls,Morning Consult,,12/19/2025,12/21/2025,2203.0, RV,0.5494862,0.2679037,,45.0,52.0,-7.0,43.56866,53.5476,-9.978939,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,12/21/2025,17:00:29 31 Dec 2025
109,Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,12/10/2025,12/18/2025,3000.0, RV,0.9924404,0.2609094,,50.0,49.0,1.0,45.74629,51.94601,-6.199722,https://napolitannews.org/jobapproval,12/18/2025,17:00:29 31 Dec 2025
121,Donald Trump (2nd term),All polls,Ipsos,Reuters,12/12/2025,12/15/2025,1016.0, A,0.727143,0.1941564,,39.0,59.0,-20.0,40.96759,57.273,-16.30541,https://www.reuters.com/world/us/trumps-approval-rating-slips-39-economy-weighs-reutersipsos-poll-finds-2025-12-16/,12/15/2025,17:00:29 31 Dec 2025
124,Donald Trump (2nd term),All polls,Morning Consult,,12/8/2025,12/14/2025,25662.0, A,0.9710555,0.1823752,True,42.9,50.9,-8.0,41.46866,52.4476,-10.97894,https://pro.morningconsult.com/trackers/global-leader-approval,12/14/2025,17:00:29 31 Dec 2025
128,Donald Trump (2nd term),All polls,Tavern Research,Rainey Center,12/13/2025,12/13/2025,1247.0, LV,0.6636499,0.1735317,,43.0,54.0,-11.0,42.41785,54.20802,-11.79017,https://www.raineycenter.org/polling/consumer-spending-trends-and-protecting-youth-online,12/13/2025,17:00:29 31 Dec 2025
132,Donald Trump (2nd term),All polls,YouGov,Economist,12/12/2025,12/15/2025,1632.0, A,0.6543095,0.1580721,,42.0,54.0,-12.0,43.6237,52.9362,-9.3125,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_FJyfDu9.pdf,12/15/2025,17:00:29 31 Dec 2025
137,Donald Trump (2nd term),All polls,The Argument/Verasight,,12/5/2025,12/11/2025,1521.0, RV,1.209669,0.1548695,,43.0,55.0,-12.0,43.03544,54.32625,-11.29081,https://www.theargumentmag.com/p/have-democrats-lost-their-education,12/11/2025,17:00:29 31 Dec 2025
140,Donald Trump (2nd term),All polls,Gallup,,12/1/2025,12/15/2025,1016.0, A,1.188387,0.1531516,,36.0,59.0,-23.0,38.1627,57.06357,-18.90087,https://news.gallup.com/poll/700241/americans-end-year-gloomy-mood.aspx,12/15/2025,17:00:29 31 Dec 2025
145,Donald Trump (2nd term),All polls,Clarity Campaign Labs,,12/4/2025,12/11/2025,1000.0, RV,1.090294,0.1462658,,44.0,55.0,-11.0,43.01435,55.98349,-12.96914,https://www.claritycampaigns.com/clarity-omnibus-dec-2025,12/11/2025,17:00:29 31 Dec 2025
150,Donald Trump (2nd term),All polls,Tavern Research,Searchlight Institute,12/9/2025,12/10/2025,1567.0, LV,0.7230265,0.1326237,,45.0,53.0,-8.0,44.41785,53.20802,-8.790169,https://www.searchlightinstitute.org/research/voters-want-a-fairer-deal-for-workers/,12/10/2025,17:00:29 31 Dec 2025
155,Donald Trump (2nd term),All polls,Hart Research Associates/Public Opinion Strategies,CNBC,12/4/2025,12/8/2025,1000.0, A,1.270486,0.1229503,,45.0,52.0,-7.0,44.56297,52.26828,-7.705311,https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2025/12/16/TOPLINES_250313_CNBC_AAES_Q4_2025_new.pdf,12/8/2025,17:00:29 31 Dec 2025
160,Donald Trump (2nd term),All polls,AP-NORC,,12/4/2025,12/8/2025,1146.0, A,1.125081,0.1063004,,36.0,61.0,-25.0,38.423,57.68902,-19.26602,https://apnorc.org/wp-content/uploads/2025/12/AP-NORC-December-2025-Topline-Trump.pdf,12/8/2025,17:00:29 31 Dec 2025
166,Donald Trump (2nd term),All polls,Morning Consult,,12/12/2025,12/15/2025,2201.0, RV,0.3943875,0.101794,,46.0,52.0,-6.0,44.56866,53.5476,-8.978939,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,12/15/2025,17:00:29 31 Dec 2025
168,Donald Trump (2nd term),All polls,Ipsos,Reuters,12/3/2025,12/8/2025,4434.0, A,1.134315,0.095952,,41.0,57.0,-16.0,42.96759,55.273,-12.30541,https://www.reuters.com/world/trump-approval-rating-rises-republicans-back-cost-of-living-efforts-2025-12-09/,12/8/2025,17:00:29 31 Dec 2025
171,Donald Trump (2nd term),All polls,John Zogby Strategies,,12/5/2025,12/7/2025,1000.0, LV,0.9842166,0.0952468,,45.9,51.6,-5.699997,45.00862,52.07351,-7.064888,https://johnzogbystrategies.com/outlook-2026-is-the-president-bleeding-independents/,12/7/2025,17:00:29 31 Dec 2025
173,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/12/2025,12/18/2025,1500.0, LV,0.3386293,0.0923365,True,45.0,53.0,-8.0,41.59822,54.82913,-13.23091,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/18/2025,17:00:29 31 Dec 2025
176,Donald Trump (2nd term),All polls,Harris Insights & Analytics,,12/2/2025,12/4/2025,2204.0, RV,1.332994,0.0837617,,47.0,49.0,-2.0,45.37733,51.04945,-5.672119,https://harvardharrispoll.com/wp-content/uploads/2025/12/HHP_Dec2025_Topline.pdf,12/4/2025,17:00:29 31 Dec 2025
181,Donald Trump (2nd term),All polls,Global Strategy Group/GBAO (Navigator Research),,12/4/2025,12/8/2025,1000.0, RV,0.8835883,0.0829342,,42.0,56.0,-14.0,42.34396,55.03205,-12.68809,https://navigatorresearch.org/wp-content/uploads/2025/12/Navigator-Topline-F12.08.25.pdf,12/8/2025,17:00:29 31 Dec 2025
186,Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,12/3/2025,12/11/2025,3000.0, RV,0.9060673,0.0774357,,47.0,51.0,-4.0,42.74629,53.94601,-11.19972,https://napolitannews.org/jobapproval,12/11/2025,17:00:29 31 Dec 2025
187,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/18/2025,12/24/2025,1500.0, LV,0.1226654,0.0702306,True,44.0,54.0,-10.0,40.59822,55.82913,-15.23091,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/24/2025,17:00:29 31 Dec 2025
189,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/17/2025,12/23/2025,1500.0, LV,0.1205555,0.0615484,True,45.0,54.0,-9.0,41.59822,55.82913,-14.23091,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/23/2025,17:00:29 31 Dec 2025
191,Donald Trump (2nd term),All polls,J.L. Partners,Daily Mail,12/3/2025,12/5/2025,1000.0, RV,0.9374685,0.0598798,,43.0,49.0,-6.0,43.02115,52.69898,-9.67783,https://jlpartners.com/nationwide-registered-voters-december-2025,12/5/2025,17:00:29 31 Dec 2025
197,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/16/2025,12/22/2025,1500.0, LV,0.1190038,0.0532641,True,44.0,54.0,-10.0,40.59822,55.82913,-15.23091,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/22/2025,17:00:29 31 Dec 2025
198,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/15/2025,12/19/2025,1500.0, LV,0.1619125,0.0522109,True,45.0,53.0,-8.0,41.59822,54.82913,-13.23091,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term ,12/19/2025,17:00:29 31 Dec 2025
203,Donald Trump (2nd term),All polls,YouGov,Economist,12/5/2025,12/8/2025,1530.0, A,0.6825643,0.046934,,41.0,55.0,-14.0,42.6237,53.9362,-11.3125,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_qLhWxpK.pdf,12/8/2025,17:00:29 31 Dec 2025
212,Donald Trump (2nd term),All polls,Rasmussen Reports,,12/5/2025,12/11/2025,1500.0, LV,0.3316324,0.0344745,True,47.0,51.0,-4.0,43.59822,52.82913,-9.230907,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term,12/11/2025,17:00:29 31 Dec 2025
